k x dx P11 P12 P21 P22 rx rdx z 
0 0.000000 0.000000 0.000001 0.000020 0.000020 0.000400 0.000000 0.000000 2.118891 
1 0.000499 0.009990 0.000010 0.000080 0.000080 0.000800 0.000500 0.010000 -13.445653 
2 0.001997 0.019986 0.000035 0.000180 0.000180 0.001200 0.002000 0.020000 -1.897050 
3 0.004493 0.029978 0.000084 0.000320 0.000320 0.001600 0.004500 0.030000 -2.643220 
4 0.008030 0.040094 0.000165 0.000500 0.000500 0.002000 0.008000 0.040000 23.240994 
5 0.012521 0.050048 0.000286 0.000720 0.000720 0.002400 0.012500 0.050000 -6.342308 
6 0.017986 0.059963 0.000455 0.000980 0.000980 0.002800 0.018000 0.060000 -8.720523 
7 0.024486 0.069971 0.000680 0.001280 0.001280 0.003200 0.024500 0.070000 0.669947 
8 0.032044 0.080071 0.000969 0.001620 0.001620 0.003600 0.032000 0.080000 6.226493 
9 0.040561 0.090086 0.001330 0.002000 0.002000 0.004000 0.040500 0.090000 0.786602 
10 0.049997 0.099987 0.001771 0.002420 0.002420 0.004400 0.050000 0.100000 -4.041087 
11 0.060550 0.110055 0.002300 0.002880 0.002880 0.004800 0.060500 0.110000 2.420514 
12 0.072489 0.120556 0.002925 0.003380 0.003380 0.005200 0.072000 0.120000 14.892529 
13 0.085017 0.130527 0.003653 0.003919 0.003919 0.005599 0.084500 0.130000 -0.664945 
14 0.098641 0.140598 0.004494 0.004499 0.004499 0.005999 0.098000 0.140000 1.694050 
15 0.113810 0.151170 0.005455 0.005119 0.005119 0.006399 0.112500 0.150000 11.280420 
16 0.129671 0.161385 0.006543 0.005778 0.005778 0.006799 0.128000 0.160000 3.854221 
17 0.146199 0.171293 0.007767 0.006478 0.006478 0.007198 0.144500 0.170000 -1.276522 
18 0.162396 0.180162 0.009135 0.007217 0.007217 0.007598 0.162000 0.180000 -15.512355 
19 0.180665 0.189976 0.010654 0.007996 0.007996 0.007997 0.180500 0.190000 -2.140381 
20 0.197965 0.198405 0.012333 0.008814 0.008814 0.008396 0.200000 0.200000 -17.618928 
21 0.220143 0.209659 0.014179 0.009673 0.009673 0.008795 0.220500 0.210000 13.174417 
22 0.240697 0.219064 0.016199 0.010571 0.010571 0.009194 0.242000 0.220000 -5.386475 
23 0.261789 0.228242 0.018403 0.011508 0.011508 0.009593 0.264500 0.230000 -6.877947 
24 0.288945 0.240542 0.020797 0.012485 0.012485 0.009991 0.288000 0.240000 18.710020 
25 0.315390 0.251634 0.023390 0.013501 0.013501 0.010390 0.312500 0.250000 8.399042 
26 0.342247 0.262297 0.026188 0.014556 0.014556 0.010787 0.338000 0.260000 4.897249 
27 0.367011 0.271244 0.029199 0.015650 0.015650 0.011185 0.364500 0.270000 -6.362023 
28 0.390093 0.278893 0.032432 0.016783 0.016783 0.011582 0.392000 0.280000 -13.612256 
29 0.414322 0.286812 0.035892 0.017955 0.017955 0.011979 0.420500 0.290000 -11.172945 
30 0.431605 0.291052 0.039588 0.019165 0.019165 0.012375 0.450000 0.300000 -29.610983 
31 0.465648 0.303133 0.043527 0.020414 0.020414 0.012771 0.480500 0.310000 10.655719 
32 0.496565 0.313180 0.047716 0.021700 0.021700 0.013166 0.512000 0.320000 0.714115 
33 0.523813 0.321163 0.052161 0.023025 0.023025 0.013561 0.544500 0.330000 -8.231930 
34 0.552993 0.329689 0.056870 0.024387 0.024387 0.013955 0.578000 0.340000 -5.485487 
35 0.594062 0.342858 0.061850 0.025787 0.025787 0.014348 0.612500 0.350000 12.874387 
